episode_id,show,episode_title,season,episode,auditory,auditory_rate,rating_myshows,rating_count,episode_length,date,number_of_comments
28,Доктор Хаус, Spin,2,6,186126,73.82,4.708,2171,43 мин.,15.11.2005,17
29,Доктор Хаус, Hunting,2,7,185886,73.73,4.752,2211,43 мин.,22.11.2005,28
30,Доктор Хаус, The Mistake,2,8,185675,73.65,4.763,2216,43 мин.,29.11.2005,17
31,Доктор Хаус, Deception,2,9,185468,73.56,4.737,2167,43 мин.,13.12.2005,23
32,Доктор Хаус, Failure to Communicate,2,10,185307,73.5,4.754,2189,43 мин.,10.01.2006,17
33,Доктор Хаус, Need to Know,2,11,185107,73.42,4.726,2154,43 мин.,07.02.2006,14
34,Доктор Хаус, Distractions,2,12,184934,73.35,4.734,2142,43 мин.,14.02.2006,8
35,Доктор Хаус, Skin Deep,2,13,184823,73.31,4.764,2180,43 мин.,20.02.2006,26
36,Доктор Хаус, Sex Kills,2,14,184699,73.26,4.753,2159,43 мин.,07.03.2006,20
37,Доктор Хаус, Clueless,2,15,184529,73.19,4.757,2150,43 мин.,28.03.2006,33
38,Доктор Хаус, Safe,2,16,184423,73.15,4.798,2188,43 мин.,04.04.2006,40
39,Доктор Хаус, All In,2,17,184312,73.11,4.786,2181,43 мин.,11.04.2006,24
40,Доктор Хаус, Sleeping Dogs Lie,2,18,184179,73.05,4.743,2118,43 мин.,18.04.2006,33
41,Доктор Хаус, House vs. God,2,19,184077,73.01,4.766,2146,43 мин.,25.04.2006,28
42,Доктор Хаус, Euphoria (1),2,20,184009,72.98,4.809,2230,43 мин.,02.05.2006,56
43,Доктор Хаус, Euphoria (2),2,21,183958,72.96,4.83,2230,43 мин.,03.05.2006,46
44,Доктор Хаус, Forever,2,22,183865,72.93,4.707,2115,43 мин.,09.05.2006,24
45,Доктор Хаус, Who's Your Daddy?,2,23,183784,72.9,4.708,2120,43 мин.,16.05.2006,21
46,Доктор Хаус, No Reason,2,24,183741,72.88,4.834,2350,43 мин.,23.05.2006,43
47,Доктор Хаус, Meaning,3,1,181066,71.82,4.776,2134,43 мин.,05.09.2006,29
48,Доктор Хаус, Cane & Able,3,2,180900,71.75,4.753,2097,43 мин.,12.09.2006,29
49,Доктор Хаус, Informed Consent,3,3,180707,71.68,4.715,2074,43 мин.,19.09.2006,26
50,Доктор Хаус, Lines in the Sand,3,4,180540,71.61,4.766,2154,43 мин.,26.09.2006,41
51,Доктор Хаус, Fools for Love,3,5,180367,71.54,4.735,2073,43 мин.,31.10.2006,28
52,Доктор Хаус, Que Sera Sera,3,6,180202,71.47,4.706,2043,43 мин.,07.11.2006,22
53,Доктор Хаус, Son of a Coma Guy,3,7,180043,71.41,4.76,2107,43 мин.,14.11.2006,35
54,Доктор Хаус, Whac-A-Mole,3,8,179880,71.35,4.713,2051,43 мин.,21.11.2006,20
55,Доктор Хаус, Finding Judas,3,9,179760,71.3,4.76,2064,43 мин.,28.11.2006,48
56,Доктор Хаус, Merry Little Christmas,3,10,179663,71.26,4.76,2052,43 мин.,12.12.2006,33
57,Доктор Хаус, Words and Deeds,3,11,179524,71.21,4.762,2072,43 мин.,09.01.2007,36
58,Доктор Хаус," One Day, One Room",3,12,179453,71.18,4.695,2206,43 мин.,30.01.2007,39
59,Доктор Хаус, Needle in a Haystack,3,13,179325,71.13,4.721,2032,43 мин.,06.02.2007,38
60,Доктор Хаус, Insensitive,3,14,179241,71.09,4.782,2083,43 мин.,13.02.2007,23
61,Доктор Хаус, Half-Wit,3,15,179135,71.05,4.793,2154,43 мин.,06.03.2007,42
62,Доктор Хаус, Top Secret,3,16,178989,70.99,4.741,2052,43 мин.,27.03.2007,25
63,Доктор Хаус, Fetal Position,3,17,178890,70.95,4.767,2122,43 мин.,03.04.2007,31
64,Доктор Хаус, Airborne,3,18,178842,70.94,4.795,2126,43 мин.,10.04.2007,44
65,Доктор Хаус, Act Your Age,3,19,178771,70.91,4.735,2073,43 мин.,17.04.2007,35
66,Доктор Хаус, House Training,3,20,178687,70.87,4.709,2053,43 мин.,24.04.2007,23
67,Доктор Хаус, Family,3,21,178601,70.84,4.735,2057,43 мин.,01.05.2007,27
68,Доктор Хаус, Resignation,3,22,178515,70.81,4.714,2047,43 мин.,08.05.2007,27
69,Доктор Хаус, The Jerk,3,23,178433,70.77,4.716,2071,43 мин.,15.05.2007,16
70,Доктор Хаус, Human Error,3,24,178395,70.76,4.785,2117,43 мин.,29.05.2007,46
71,Доктор Хаус, Alone,4,1,176007,69.81,4.749,2091,43 мин.,25.09.2007,28
72,Доктор Хаус, The Right Stuff,4,2,175904,69.77,4.754,2067,43 мин.,02.10.2007,37
73,Доктор Хаус, 97 Seconds,4,3,175773,69.72,4.77,2094,43 мин.,09.10.2007,30
74,Доктор Хаус, Guardian Angels,4,4,175624,69.66,4.746,2046,43 мин.,23.10.2007,30
75,Доктор Хаус, Mirror Mirror,4,5,175481,69.6,4.762,2072,43 мин.,30.10.2007,23
76,Доктор Хаус, Whatever It Takes,4,6,175364,69.56,4.738,2034,43 мин.,06.11.2007,27
77,Доктор Хаус, Ugly,4,7,175251,69.51,4.721,2045,43 мин.,13.11.2007,22
78,Доктор Хаус, You Don't Want to Know,4,8,175117,69.46,4.745,2079,43 мин.,20.11.2007,38
79,Доктор Хаус, Games,4,9,174995,69.41,4.75,2092,43 мин.,27.11.2007,33
80,Доктор Хаус, It's A Wonderful Lie,4,10,174886,69.37,4.735,2055,43 мин.,29.01.2008,15
81,Доктор Хаус, Frozen,4,11,174800,69.33,4.785,2139,43 мин.,03.02.2008,40
82,Доктор Хаус, Don't Ever Change,4,12,174678,69.28,4.715,2044,43 мин.,05.02.2008,17
83,Доктор Хаус, No More Mr. Nice Guy,4,13,174599,69.25,4.726,2027,43 мин.,28.04.2008,23
84,Доктор Хаус, Living the Dream,4,14,174512,69.22,4.715,2043,43 мин.,05.05.2008,20
85,Доктор Хаус, House's Head (Part 1),4,15,174451,69.19,4.853,2443,43 мин.,12.05.2008,47
86,Доктор Хаус, Wilson's Heart (Part 2),4,16,174424,69.18,4.873,2593,43 мин.,19.05.2008,101
87,Доктор Хаус, Dying Changes Everything,5,1,171948,68.2,4.707,1999,43 мин.,16.09.2008,29
88,Доктор Хаус, Not Cancer,5,2,171789,68.14,4.683,1975,43 мин.,23.09.2008,20
89,Доктор Хаус, Adverse Events,5,3,171614,68.07,4.682,1955,43 мин.,30.09.2008,8
90,Доктор Хаус, Birthmarks,5,4,171460,68.01,4.746,2020,43 мин.,14.10.2008,24
91,Доктор Хаус, Lucky Thirteen,5,5,171358,67.97,4.716,2008,43 мин.,21.10.2008,30
92,Доктор Хаус, Joy,5,6,171218,67.91,4.75,2041,43 мин.,28.10.2008,31
93,Доктор Хаус, The Itch,5,7,171086,67.86,4.697,1973,43 мин.,11.11.2008,21
94,Доктор Хаус, Emancipation,5,8,170953,67.81,4.681,1952,43 мин.,18.11.2008,12
95,Доктор Хаус, Last Resort,5,9,170851,67.77,4.773,2129,43 мин.,25.11.2008,45
96,Доктор Хаус, Let Them Eat Cake,5,10,170752,67.73,4.729,1953,43 мин.,02.12.2008,22
97,Доктор Хаус, Joy to the World,5,11,170650,67.69,4.74,2029,43 мин.,09.12.2008,60
98,Доктор Хаус, Painless,5,12,170564,67.65,4.695,1929,43 мин.,19.01.2009,18
99,Доктор Хаус, Big Baby,5,13,170435,67.6,4.683,1914,43 мин.,26.01.2009,23
100,Доктор Хаус, The Greater Good,5,14,170347,67.57,4.693,1916,43 мин.,02.02.2009,16
101,Доктор Хаус, Unfaithful,5,15,170236,67.52,4.704,1956,43 мин.,16.02.2009,25
102,Доктор Хаус, The Softer Side,5,16,170129,67.48,4.752,1963,43 мин.,23.02.2009,23
103,Доктор Хаус, The Social Contract,5,17,170053,67.45,4.716,1942,43 мин.,09.03.2009,18
104,Доктор Хаус, Here Kitty,5,18,169976,67.42,4.721,1941,43 мин.,16.03.2009,23
105,Доктор Хаус, Locked In,5,19,169911,67.39,4.785,2087,43 мин.,30.03.2009,43
106,Доктор Хаус, Simple Explanation,5,20,169846,67.37,4.752,2058,43 мин.,06.04.2009,80
107,Доктор Хаус, Saviors,5,21,169746,67.33,4.712,1961,43 мин.,13.04.2009,16
108,Доктор Хаус, House Divided,5,22,169696,67.31,4.769,2021,43 мин.,27.04.2009,32
109,Доктор Хаус, Under My Skin,5,23,169664,67.3,4.787,2047,43 мин.,04.05.2009,49
110,Доктор Хаус, Both Sides Now,5,24,169644,67.29,4.83,2153,43 мин.,11.05.2009,37
111,Доктор Хаус, Broken,6,1,167020,66.25,4.807,2285,90 мин.,21.09.2009,88
112,Теория большого взрыва, Pilot,1,1,234265,79.15,4.674,3627,22 мин.,24.09.2007,129
113,Теория большого взрыва, The Big Bran Hypothesis,1,2,231584,78.24,4.752,3447,22 мин.,01.10.2007,33
114,Теория большого взрыва, The Fuzzy Boots Corollary,1,3,229912,77.68,4.684,3347,22 мин.,08.10.2007,15
115,Теория большого взрыва, The Luminous Fish Effect,1,4,228379,77.16,4.744,3344,22 мин.,15.10.2007,23
116,Теория большого взрыва, The Hamburger Postulate,1,5,227371,76.82,4.723,3330,22 мин.,22.10.2007,15
117,Теория большого взрыва, The Middle-Earth Paradigm,1,6,226326,76.47,4.767,3355,22 мин.,29.10.2007,22
118,Теория большого взрыва, The Dumpling Paradox,1,7,225635,76.23,4.733,3326,22 мин.,05.11.2007,14
119,Теория большого взрыва, The Grasshopper Experiment,1,8,225052,76.04,4.762,3333,22 мин.,12.11.2007,11
120,Теория большого взрыва, The Cooper-Hofstadter Polarization,1,9,224558,75.87,4.736,3312,22 мин.,17.03.2008,8
121,Теория большого взрыва, The Loobenfeld Decay,1,10,224125,75.72,4.729,3327,22 мин.,24.03.2008,21
122,Теория большого взрыва, The Pancake Batter Anomaly,1,11,223639,75.56,4.751,3374,22 мин.,31.03.2008,28
123,Теория большого взрыва, The Jerusalem Duality,1,12,223278,75.44,4.72,3284,22 мин.,14.04.2008,16
124,Теория большого взрыва, The Bat Jar Conjecture,1,13,223029,75.35,4.748,3330,22 мин.,21.04.2008,24
125,Теория большого взрыва, The Nerdvana Annihilation,1,14,222780,75.27,4.736,3335,22 мин.,28.04.2008,11
126,Теория большого взрыва, The Pork Chop Indeterminacy,1,15,222588,75.2,4.755,3329,22 мин.,05.05.2008,26
127,Теория большого взрыва, The Peanut Reaction,1,16,222433,75.15,4.768,3333,22 мин.,12.05.2008,12
128,Теория большого взрыва, The Tangerine Factor,1,17,222415,75.14,4.783,3392,22 мин.,19.05.2008,23
129,Теория большого взрыва, The Bad Fish Paradigm,2,1,217816,73.59,4.741,3119,22 мин.,22.09.2008,12
130,Теория большого взрыва, The Codpiece Topology,2,2,217494,73.48,4.73,3113,22 мин.,29.09.2008,15
131,Теория большого взрыва, The Barbarian Sublimation,2,3,217206,73.38,4.778,3171,22 мин.,06.10.2008,16
132,Теория большого взрыва, The Griffin Equivalency,2,4,216855,73.27,4.737,3109,22 мин.,13.10.2008,19
133,Теория большого взрыва, The Euclid Alternative,2,5,216604,73.18,4.756,3124,22 мин.,20.10.2008,20
134,Теория большого взрыва, The Cooper-Nowitzki Theorem,2,6,216348,73.09,4.762,3104,22 мин.,03.11.2008,12
135,Теория большого взрыва, The Panty Piñata Polarization,2,7,216095,73.01,4.771,3133,22 мин.,10.11.2008,17
136,Теория большого взрыва, The Lizard-Spock Expansion,2,8,215909,72.95,4.735,3075,22 мин.,17.11.2008,14
137,Теория большого взрыва, The White Asparagus Triangulation,2,9,215705,72.88,4.752,3083,22 мин.,24.11.2008,14
138,Теория большого взрыва, The Vartabedian Conundrum,2,10,215541,72.82,4.725,3041,22 мин.,08.12.2008,12
139,Теория большого взрыва, The Bath Item Gift Hypothesis,2,11,215342,72.76,4.818,3465,22 мин.,15.12.2008,55
140,Теория большого взрыва, The Killer Robot Instability,2,12,215189,72.7,4.72,3063,22 мин.,12.01.2009,23
141,Теория большого взрыва, The Friendship Algorithm,2,13,214990,72.64,4.732,3051,22 мин.,19.01.2009,8
142,Теория большого взрыва, The Financial Permeability,2,14,214828,72.58,4.74,3042,22 мин.,02.02.2009,10
143,Теория большого взрыва, The Maternal Capacitance,2,15,214697,72.54,4.788,3153,22 мин.,09.02.2009,26
144,Теория большого взрыва, The Cushion Saturation,2,16,214580,72.5,4.754,3055,22 мин.,02.03.2009,16
145,Теория большого взрыва, The Terminator Decoupling,2,17,214463,72.46,4.73,3042,22 мин.,09.03.2009,9
146,Теория большого взрыва, The Work Song Nanocluster,2,18,214365,72.43,4.768,3080,22 мин.,16.03.2009,20
147,Теория большого взрыва, The Dead Hooker Juxtaposition,2,19,214261,72.39,4.743,3047,22 мин.,30.03.2009,9
148,Теория большого взрыва, The Hofstadter Isotope,2,20,214217,72.38,4.72,3028,22 мин.,13.04.2009,15
149,Теория большого взрыва, The Vegas Renormalization,2,21,214133,72.35,4.765,3073,22 мин.,27.04.2009,18
150,Теория большого взрыва, The Classified Materials Turbulence,2,22,214052,72.32,4.753,3052,22 мин.,04.05.2009,17
151,Теория большого взрыва, The Monopolar Expedition,2,23,214019,72.31,4.775,3100,22 мин.,11.05.2009,18
152,Теория большого взрыва, The Electric Can Opener Fluctuation,3,1,210859,71.24,4.748,3002,22 мин.,21.09.2009,25
153,Обмани меня, Pilot,1,1,163863,78.45,4.689,2400,43 мин.,21.01.2009,58
154,Обмани меня, Moral Waiver,1,2,161461,77.3,4.63,2264,43 мин.,28.01.2009,23
155,Обмани меня, A Perfect Score,1,3,159472,76.35,4.626,2246,43 мин.,04.02.2009,18
156,Обмани меня, Love Always,1,4,157514,75.41,4.641,2235,43 мин.,18.02.2009,21
157,Обмани меня, Unchained,1,5,156005,74.69,4.646,2210,43 мин.,04.03.2009,13
158,Обмани меня, Do No Harm,1,6,154514,73.97,4.647,2181,43 мин.,11.03.2009,27
159,Обмани меня, The Best Policy,1,7,153369,73.42,4.623,2150,43 мин.,18.03.2009,17
160,Обмани меня, Depraved Heart,1,8,152371,72.95,4.662,2173,43 мин.,01.04.2009,18
161,Обмани меня, Life is Priceless,1,9,151579,72.57,4.639,2167,43 мин.,08.04.2009,24
162,Обмани меня, Better Half,1,10,150903,72.24,4.65,2157,43 мин.,22.04.2009,25
163,Обмани меня, Undercover,1,11,150236,71.92,4.62,2115,43 мин.,29.04.2009,21
164,Обмани меня, Blinded,1,12,149921,71.77,4.788,2397,43 мин.,06.05.2009,41
165,Обмани меня, Sacrifice,1,13,149772,71.7,4.679,2180,43 мин.,13.05.2009,20
166,Обмани меня, The Core of It,2,1,139868,66.96,4.673,2158,43 мин.,28.09.2009,25
167,Обмани меня, Truth or Consequences,2,2,139433,66.75,4.649,2065,43 мин.,05.10.2009,39
168,Обмани меня, Control Factor,2,3,138909,66.5,4.653,2061,43 мин.,12.10.2009,26
169,Обмани меня, Honey,2,4,138367,66.24,4.664,2065,43 мин.,19.10.2009,21
170,Обмани меня, Grievous Bodily Harm,2,5,137821,65.98,4.614,2022,43 мин.,26.10.2009,20
171,24 часа, 12:00 A.M. - 1:00 A.M.,1,1,14085,68.22,4.125,311,43 мин.,06.11.2001,12
172,24 часа, 1:00 A.M. - 2:00 A.M.,1,2,13530,65.54,4.239,297,43 мин.,13.11.2001,3
173,24 часа, 2:00 A.M. - 3:00 A.M.,1,3,13233,64.1,4.297,290,43 мин.,20.11.2001,3
174,24 часа, 3:00 A.M. - 4:00 A.M.,1,4,13014,63.04,4.303,271,43 мин.,27.11.2001,1
175,24 часа, 4:00 A.M. - 5:00 A.M.,1,5,12862,62.3,4.306,271,43 мин.,11.12.2001,3
176,24 часа, 5:00 A.M. - 6:00 A.M.,1,6,12742,61.72,4.371,272,43 мин.,18.12.2001,4
177,24 часа, 6:00 A.M. - 7:00 A.M.,1,7,12648,61.26,4.413,264,43 мин.,08.01.2002,6
178,24 часа, 7:00 A.M. - 8:00 A.M.,1,8,12574,60.91,4.41,266,43 мин.,15.01.2002,6
179,24 часа, 8:00 A.M. - 9:00 A.M.,1,9,12496,60.53,4.402,259,43 мин.,22.01.2002,4
180,24 часа, 9:00 A.M. - 10:00 A.M.,1,10,12455,60.33,4.387,261,43 мин.,05.02.2002,1
181,24 часа, 10:00 A.M. - 11:00 A.M.,1,11,12394,60.03,4.362,0,43 мин.,12.02.2002,1
182,24 часа, 11:00 A.M. - 12:00 P.M.,1,12,12340,59.77,4.425,259,43 мин.,19.02.2002,2
183,24 часа, 12:00 P.M. - 1:00 P.M.,1,13,12283,59.5,4.364,258,43 мин.,26.02.2002,6
184,24 часа, 1:00 P.M. - 2:00 P.M.,1,14,12223,59.21,4.303,254,43 мин.,05.03.2002,1
185,24 часа, 2:00 P.M. - 3:00 P.M.,1,15,12195,59.07,4.274,252,43 мин.,12.03.2002,8
186,24 часа, 3:00 P.M. - 4:00 P.M.,1,16,12147,58.84,4.291,251,43 мин.,19.03.2002,4
187,24 часа, 4:00 P.M. - 5:00 P.M.,1,17,12095,58.59,4.335,251,43 мин.,26.03.2002,1
188,24 часа, 5:00 P.M. - 6:00 P.M.,1,18,12047,58.35,4.259,247,43 мин.,02.04.2002,4
189,24 часа, 6:00 P.M. - 7:00 P.M.,1,19,12019,58.22,4.288,243,43 мин.,09.04.2002,3
190,24 часа, 7:00 P.M. - 8:00 P.M.,1,20,11999,58.12,4.374,246,43 мин.,16.04.2002,3
191,24 часа, 8:00 P.M. - 9:00 P.M.,1,21,11972,57.99,4.296,243,43 мин.,23.04.2002,2
192,24 часа, 9:00 P.M. - 10:00 P.M.,1,22,11953,57.9,4.28,243,43 мин.,07.05.2002,5
193,24 часа, 10:00 P.M. - 11:00 P.M.,1,23,11937,57.82,4.426,242,43 мин.,14.05.2002,5
194,24 часа, 11:00 P.M. - 12:00 A.M.,1,24,11920,57.74,4.543,258,43 мин.,21.05.2002,15
195,24 часа, Day 2: 8:00 A.M. - 9:00 A.M.,2,1,10324,50.01,4.323,220,43 мин.,29.10.2002,6
196,24 часа, Day 2: 9:00 A.M. - 10:00 A.M.,2,2,10237,49.59,4.318,217,43 мин.,05.11.2002,2
197,24 часа, Day 2: 10:00 A.M. - 11:00 A.M.,2,3,10161,49.22,4.412,216,43 мин.,12.11.2002,3
198,24 часа, Day 2: 11:00 A.M. - 12:00 P.M.,2,4,10108,48.96,4.389,211,43 мин.,19.11.2002,1
199,24 часа, Day 2: 12:00 P.M. - 1:00 P.M.,2,5,10074,48.8,4.335,209,43 мин.,26.11.2002,6
200,24 часа, Day 2: 1:00 P.M. - 2:00 P.M.,2,6,10030,48.58,4.302,212,43 мин.,03.12.2002,3
201,24 часа, Day 2: 2:00 P.M. - 3:00 P.M.,2,7,10000,48.44,4.385,208,43 мин.,10.12.2002,2
202,24 часа, Day 2: 3:00 P.M. - 4:00 P.M.,2,8,9978,48.33,4.382,204,43 мин.,17.12.2002,2
203,24 часа, Day 2: 4:00 P.M. - 5:00 P.M.,2,9,9956,48.22,4.445,0,43 мин.,07.01.2003,2
204,24 часа, Day 2: 5:00 P.M. - 6:00 P.M.,2,10,9943,48.16,4.449,205,43 мин.,14.01.2003,2
205,24 часа, Day 2: 6:00 P.M. - 7:00 P.M.,2,11,9929,48.09,4.335,0,43 мин.,04.02.2003,2
206,24 часа, Day 2: 7:00 P.M. - 8:00 P.M.,2,12,9917,48.04,4.439,205,43 мин.,11.02.2003,3
207,24 часа, Day 2: 8:00 P.M. - 9:00 P.M.,2,13,9897,47.94,4.41,205,43 мин.,18.02.2003,1
208,24 часа, Day 2: 9:00 P.M. - 10:00 P.M.,2,14,9892,47.91,4.408,0,43 мин.,25.02.2003,1
209,24 часа, Day 2: 10:00 P.M. - 11:00 P.M.,2,15,9882,47.87,4.458,203,43 мин.,04.03.2003,9
210,24 часа, Day 2: 11:00 P.M. - 12:00 A.M.,2,16,9871,47.81,4.361,194,43 мин.,25.03.2003,7
211,24 часа, Day 2: 12:00 A.M. - 1:00 A.M.,2,17,9856,47.74,4.327,0,43 мин.,01.04.2003,7
212,24 часа, Day 2: 1:00 A.M. - 2:00 A.M.,2,18,9845,47.69,4.382,199,43 мин.,08.04.2003,1
213,24 часа, Day 2: 2:00 A.M. - 3:00 A.M.,2,19,9837,47.65,4.351,205,43 мин.,15.04.2003,1
214,24 часа, Day 2: 3:00 A.M. - 4:00 A.M.,2,20,9834,47.63,4.387,204,43 мин.,22.04.2003,1
215,24 часа, Day 2: 4:00 A.M. - 5:00 A.M.,2,21,9832,47.62,4.396,202,43 мин.,29.04.2003,2
216,24 часа, Day 2: 5:00 A.M. - 6:00 A.M.,2,22,9824,47.59,4.413,201,43 мин.,06.05.2003,1
217,24 часа, Day 2: 6:00 A.M. - 7:00 A.M.,2,23,9824,47.59,4.458,203,43 мин.,13.05.2003,4
218,24 часа, Day 2: 7:00 A.M. - 8:00 A.M.,2,24,9827,47.6,4.481,208,43 мин.,20.05.2003,6
219,24 часа, Day 3: 1:00 P.M. - 2:00 P.M.,3,1,9066,43.91,4.206,194,43 мин.,28.10.2003,2
220,24 часа, Day 3: 2:00 P.M. - 3:00 P.M.,3,2,9020,43.69,4.218,193,43 мин.,04.11.2003,6
221,24 часа, Day 3: 3:00 P.M. - 4:00 P.M.,3,3,8977,43.48,4.286,182,43 мин.,11.11.2003,2
222,24 часа, Day 3: 4:00 P.M. - 5:00 P.M.,3,4,8947,43.34,4.299,187,43 мин.,18.11.2003,1
223,24 часа, Day 3: 5:00 P.M. - 6:00 P.M.,3,5,8927,43.24,4.29,0,43 мин.,25.11.2003,1
224,24 часа, Day 3: 6:00 P.M. - 7:00 P.M.,3,6,8904,43.13,4.341,182,43 мин.,02.12.2003,3
225,24 часа, Day 3: 7:00 P.M. - 8:00 P.M.,3,7,8882,43.02,4.405,190,43 мин.,09.12.2003,1
226,24 часа, Day 3: 8:00 P.M. - 9:00 P.M.,3,8,8863,42.93,4.385,192,43 мин.,16.12.2003,4
227,24 часа, Day 3: 9:00 P.M. - 10:00 P.M.,3,9,8845,42.84,4.337,187,43 мин.,06.01.2004,1
228,24 часа, Day 3: 10:00 P.M. - 11:00 P.M.,3,10,8832,42.78,4.353,187,43 мин.,13.01.2004,2
229,24 часа, Day 3: 11:00 P.M. - 12:00 A.M.,3,11,8813,42.69,4.295,183,43 мин.,27.01.2004,2
230,24 часа, Day 3: 12:00 A.M. - 1:00 A.M.,3,12,8796,42.61,4.332,184,43 мин.,03.02.2004,2
231,24 часа, Day 3: 1:00 A.M. - 2:00 A.M.,3,13,8785,42.55,4.328,180,43 мин.,10.02.2004,1
232,24 часа, Day 3: 2:00 A.M. - 3:00 A.M.,3,14,8768,42.47,4.352,182,43 мин.,17.02.2004,2
233,24 часа, Day 3: 3:00 A.M. - 4:00 A.M.,3,15,8754,42.4,4.346,179,43 мин.,24.02.2004,1
234,24 часа, Day 3: 4:00 A.M. - 5:00 A.M.,3,16,8743,42.35,4.374,179,43 мин.,30.03.2004,2
235,24 часа, Day 3: 5:00 A.M. - 6:00 A.M.,3,17,8739,42.33,4.352,0,43 мин.,06.04.2004,2
236,24 часа, Day 3: 6:00 A.M. - 7:00 A.M.,3,18,8738,42.33,4.377,191,43 мин.,18.04.2004,6
237,24 часа, Day 3: 7:00 A.M. - 8:00 A.M.,3,19,8736,42.32,4.355,183,43 мин.,20.04.2004,2
238,24 часа, Day 3: 8:00 A.M. - 9:00 A.M.,3,20,8732,42.3,4.29,186,43 мин.,27.04.2004,4
239,24 часа, Day 3: 9:00 A.M. - 10:00 A.M.,3,21,8729,42.28,4.364,187,43 мин.,04.05.2004,1
240,24 часа, Day 3: 10:00 A.M. - 11:00 A.M.,3,22,8727,42.27,4.413,189,43 мин.,11.05.2004,4
241,24 часа, Day 3: 11:00 A.M. - 12:00 P.M.,3,23,8725,42.26,4.41,195,43 мин.,18.05.2004,3
242,24 часа, Day 3: 12:00 P.M. - 1:00 P.M.,3,24,8727,42.27,4.415,193,43 мин.,25.05.2004,6
243,24 часа, Day 4: 7:00 A.M. - 8:00 A.M.,4,1,8267,40.04,4.291,182,43 мин.,09.01.2005,2
244,24 часа, Day 4: 8:00 A.M. - 9:00 A.M.,4,2,8242,39.92,4.278,180,43 мин.,09.01.2005,3
245,24 часа, Day 4: 9:00 A.M. - 10:00 A.M.,4,3,8232,39.87,4.275,178,43 мин.,10.01.2005,1
246,24 часа, Day 4: 10:00 A.M. - 11:00 A.M.,4,4,8223,39.83,4.344,180,43 мин.,10.01.2005,2
247,24 часа, Day 4: 11:00 A.M. - 12:00 P.M.,4,5,8216,39.8,4.335,176,43 мин.,17.01.2005,1
248,24 часа, Day 4: 12:00 P.M. - 1:00 P.M.,4,6,8207,39.75,4.384,177,43 мин.,24.01.2005,1
249,24 часа, Day 4: 1:00 P.M. - 2:00 P.M.,4,7,8197,39.7,4.341,179,43 мин.,31.01.2005,1
250,24 часа, Day 4: 2:00 P.M. - 3:00 P.M.,4,8,8192,39.68,4.331,178,43 мин.,07.02.2005,2
